Word,Age of Acquisition Rating,Familiarity,Concreteness,Imageability,Meaningfulness: Coloradao Norms,Meaningfulness: Pavio Norms,AoA_Count,Familiarity_Count,Concreteness_Count,Imageability_Count,Meaningfulness_Colorado_Count,Meaningfulness_Paivio_Count,AoA_Std,Familiarity_Std,Concreteness_Std,Imageability_Std,Meaningfulness_Colorado_Std,Meaningfulness_Paivio_Std,AoA_Range,Familiarity_Range,Concreteness_Range,Imageability_Range,Meaningfulness_Colorado_Range,Meaningfulness_Paivio_Range,Source_Count,Source_Row_Count,Source_Words,Review_Required,Review_Reasons
abrechnung,513.25,441.5,287.0,326.5,,624.0,4,4,4,4,0,1,20.3516,23.3827,86.6025,75.3442,,,47.0,54,200.0,174.0,,0.0,2,4,RECKONING;SETTLEMENT,yes,high_concreteness_range;high_concreteness_std;high_imageability_range;high_imageability_std;multiple_english_sources
abreißen,,501.0,370.0,497.0,462.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,DEMOLISH,no,
absatz,,559.0,493.0,482.0,419.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,PARAGRAPH,no,
abscheu,628.0,240.0,253.0,318.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,DETESTATION,no,
abscheulich,,381.0,379.0,415.5,393.0,,0,4,2,4,2,0,,23.0,0.0,28.5,0.0,,,46,0.0,57.0,0.0,,2,4,ABOMINABLE;VILE,yes,multiple_english_sources
abschied,406.0,436.0,361.0,466.0,,,5,5,5,5,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,5,FAREWELL,no,
abschlussfeier,,568.0,416.0,577.0,,628.0,0,2,2,2,0,2,,0.0,0.0,0.0,,0.0,,0,0.0,0.0,,0.0,1,2,GRADUATION,no,
abseits,,555.0,304.0,364.0,398.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,APART,no,
absender,406.0,464.0,482.0,370.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,SENDER,no,
absicht,481.0,525.0,285.0,286.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,INTENTION,no,
absichtlich,,508.0,,341.0,,,0,2,0,2,0,0,,0.0,,0.0,,,,0,,0.0,,,1,2,DELIBERATE,no,
absolut,,495.0,,268.0,,,0,3,0,3,0,0,,0.0,,0.0,,,,0,,0.0,,,1,3,ABSOLUTE,no,
absolution,608.0,372.0,241.0,256.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ABSOLUTION,no,
absolvent,592.0,520.0,455.0,516.0,,,5,5,5,5,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,5,GRADUATE,no,
abspielen,192.0,586.0,468.0,498.0,497.0,,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,2,PLAY,no,
abspülen,,480.0,,465.0,,,0,2,0,2,0,0,,0.0,,0.0,,,,0,,0.0,,,1,2,RINSE,no,
abstimmung,486.0,567.0,389.0,477.0,443.0,,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,2,VOTE,no,
abstoßend,,474.0,336.0,426.0,462.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,REPULSIVE,no,
abstraktion,,368.0,,,,,0,1,0,0,0,0,,,,,,,,0,,,,,1,1,ABSTRACTION,no,
abszess,533.0,392.0,538.0,491.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ABSCESS,no,
abteilung,455.5,557.0,389.5,415.0,403.0,,2,2,2,2,1,0,38.5,39.0,57.5,11.0,,,77.0,78,115.0,22.0,0.0,,2,2,DEPARTMENT;DIVISION,yes,multiple_english_sources
abtreten,,193.0,239.0,240.0,234.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,CEDE,no,
abtretung,,284.0,275.0,326.0,277.0,472.0,0,1,1,1,1,1,,,,,,,,0,0.0,0.0,0.0,0.0,1,1,ABDICATION,no,
abwarten,,456.0,,293.0,,,0,2,0,2,0,0,,0.0,,0.0,,,,0,,0.0,,,1,2,AWAIT,no,
abwasserentsorgung,586.0,354.0,391.0,447.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,SANITATION,no,
abwegig,,307.0,,332.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,OUTLANDISH,no,
abzeichen,,473.0,561.0,519.0,410.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BADGE,no,
abzug,,492.0,327.0,316.0,,508.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,DEDUCTION,no,
achse,,482.0,555.0,560.0,357.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,AXLE,no,
achselzucken,408.0,481.0,421.0,497.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,SHRUG,no,
acht,211.0,613.0,368.0,501.0,365.0,,3,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,3,EIGHT,no,
achteck,,366.0,,,,,0,2,0,0,0,0,,0.0,,,,,,0,,,,,1,2,OCTAGON,no,
acre,411.0,427.0,462.0,464.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ACRE,no,
adam,,372.0,,488.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,ADAM,no,
addierer,356.0,361.0,615.0,583.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ADDER,no,
adel,562.5,355.0,411.5,466.0,,,2,2,2,2,0,0,6.5,46.0,40.5,4.0,,,13.0,92,81.0,8.0,,,2,2,ARISTOCRACY;GENTRY,yes,multiple_english_sources
ader,,496.0,553.0,546.0,451.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,VEIN,no,
adjektiv,,515.0,316.0,394.0,392.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,ADJECTIVE,no,
adler,,465.0,616.0,601.0,457.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,EAGLE,no,
adlerhorst,556.0,270.0,529.0,408.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,EYRIE,no,
admiral,,436.0,528.0,543.0,381.0,611.0,0,2,2,2,2,2,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1,2,ADMIRAL,no,
adverb,,473.0,352.0,315.0,322.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,ADVERB,no,
affe,,540.6,618.8,604.8,502.0,,0,5,5,5,5,0,,7.8384,43.111,13.7171,44.0908,,,16,88.0,28.0,90.0,,2,5,APE;MONKEY,yes,multiple_english_sources
affäre,,531.0,,361.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,AFFAIR,no,
agentur,553.0,420.0,426.0,366.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,AGENCY,no,
aggressiv,,410.0,,380.5,,,0,4,0,4,0,0,,90.0,,36.5,,,,180,,73.0,,,2,4,AGGRESSIVE;BELLIGERENT,yes,high_familiarity_range;high_familiarity_std;multiple_english_sources
agil,,432.0,356.0,454.0,436.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,AGILE,no,
ah,,519.0,253.0,330.0,322.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,AH,no,
ahle,,257.0,413.0,292.0,200.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,AWL,no,
ahorn,,518.0,534.0,511.0,413.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,MAPLE,no,
akademie,,509.0,499.0,504.0,421.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,ACADEMY,no,
akkordeon,,394.0,586.0,576.0,352.0,589.0,0,2,2,2,2,2,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1,2,ACCORDION,no,
akrobat,,431.0,566.0,583.0,420.0,567.0,0,1,1,1,1,1,,,,,,,,0,0.0,0.0,0.0,0.0,1,1,ACROBAT,no,
aktiv,,552.0,,436.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,ACTIVE,no,
aktualisieren,,502.0,362.0,374.0,385.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,REFRESH,no,
aktualität,586.0,361.0,247.0,213.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ACTUALITY,no,
aktuell,,509.0,,497.0,,,0,2,0,2,0,0,,0.0,,0.0,,,,0,,0.0,,,1,2,CURRENT,no,
aktuellste,,578.0,,288.0,,,0,2,0,2,0,0,,0.0,,0.0,,,,0,,0.0,,,1,2,LATEST,no,
akustisch,,192.0,309.0,253.0,197.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,AURAL,no,
akzeptabel,,521.0,,288.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,ACCEPTABLE,no,
albatros,528.0,309.0,621.0,583.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ALBATROSS,no,
albumin,,217.0,415.0,352.0,205.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,ALBUMIN,no,
alchemist,664.0,262.0,462.0,394.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ALCHEMIST,no,
algebra,,483.0,453.0,510.0,,672.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,ALGEBRA,no,
algen,631.0,317.0,545.0,424.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ALGAE,no,
alias,561.0,384.0,232.0,294.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,ALIAS,no,
alkali,633.0,391.0,437.0,432.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ALKALI,no,
alkohol,,578.6667,626.0,583.3333,537.0,608.0,0,3,3,3,3,1,,0.4714,5.6569,10.3709,1.4142,,,1,12.0,22.0,3.0,0.0,2,3,ALCOHOL;LIQUOR,yes,multiple_english_sources
alle,,582.0,267.0,332.0,513.0,,0,6,6,6,6,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,6,ALL,no,
allee,372.0,529.0,539.0,564.0,,609.0,2,2,2,2,0,2,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.0,,0.0,1,2,AVENUE,no,
allegorie,650.0,314.0,283.0,244.0,,448.0,1,1,1,1,0,1,,,,,,,0.0,0,0.0,0.0,,0.0,1,1,ALLEGORY,no,
allein,,562.0,390.0,480.0,460.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,ALONE,no,
allgemein,,595.0,,276.0,,,0,4,0,4,0,0,,0.0,,0.0,,,,0,,0.0,,,1,4,COMMON,no,
allgemeines,,568.0,408.0,491.0,480.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,GENERAL,no,
allierisch,446.0,410.0,485.0,453.0,,,3,3,3,3,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,3,ALLY,no,
alligator,,442.0,624.0,627.0,425.0,772.0,0,1,1,1,1,1,,,,,,,,0,0.0,0.0,0.0,0.0,1,1,ALLIGATOR,no,
allophon,,74.0,,,,,0,1,0,0,0,0,,,,,,,,0,,,,,1,1,ALLOPHONE,no,
alphabet,244.0,493.0,449.0,499.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,ALPHABET,no,
als,,572.3333,168.0,220.3333,248.3333,,0,6,6,6,6,0,,19.3276,14.1421,5.1854,14.6135,,,41,30.0,11.0,31.0,,2,6,AS;THAN,yes,multiple_english_sources
also,,561.0,195.8,243.0,273.8,,0,5,5,5,5,0,,44.0908,0.9798,19.5959,0.9798,,,90,2.0,40.0,2.0,,2,5,SO;THUS,yes,multiple_english_sources
alt,,616.0,349.0,478.0,568.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,OLD,no,
alter,258.0,582.0,390.0,468.0,428.0,,2,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,2,AGE,no,
alternative,,518.0,,268.0,,,0,2,0,2,0,0,,0.0,,0.0,,,,0,,0.0,,,1,2,ALTERNATIVE,no,
aluminium,514.0,473.5,561.5,503.0,381.0,,1,2,2,2,1,0,,20.5,38.5,2.0,,,0.0,41,77.0,4.0,0.0,,2,2,ALUMINIUM;ALUMINUM,yes,multiple_english_sources
amateur,522.0,502.0,388.0,397.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,AMATEUR,no,
amboss,,302.0,,,,,0,2,0,0,0,0,,0.0,,,,,,0,,,,,1,2,ANVIL,no,
ameise,,511.0,604.0,613.0,415.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,ANT,no,
amethyst,567.0,285.0,573.0,510.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,AMETHYST,no,
ammoniak,,524.0,563.0,536.0,343.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,AMMONIA,no,
amoklauf,531.0,410.0,333.0,425.0,,579.0,1,1,1,1,0,1,,,,,,,0.0,0,0.0,0.0,,0.0,1,1,SPREE,no,
ampere,,272.0,327.0,304.0,231.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,AMPERE,no,
amplitude,650.0,374.0,315.0,389.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,AMPLITUDE,no,
amtsantritt,639.0,311.0,305.0,324.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,INAUGURATION,no,
amtszeit,,304.0,345.0,286.0,289.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,TENURE,no,
analogie,617.0,417.0,247.0,267.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ANALOGY,no,
analphabetismus,578.0,413.0,252.0,348.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ILLITERACY,no,
analysis,689.0,364.0,331.0,435.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,CALCULUS,no,
analytisch,,405.0,,303.0,,,0,2,0,2,0,0,,0.0,,0.0,,,,0,,0.0,,,1,2,ANALYTIC,no,
ananas,,489.0,653.0,569.0,435.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,PINEAPPLE,no,
anbraten,,316.0,292.0,299.0,259.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,SEAR,no,
anders,,558.0,,329.0,,,0,3,0,3,0,0,,0.0,,0.0,,,,0,,0.0,,,1,3,DIFFERENT,no,
andeutung,608.0,371.0,311.0,345.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,INTIMATION,no,
anekdote,619.0,388.0,398.0,357.0,,584.0,1,1,1,1,0,1,,,,,,,0.0,0,0.0,0.0,,0.0,1,1,ANECDOTE,no,
anerkennen,,503.0,290.0,316.0,426.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,ACKNOWLEDGE,no,
anerkennung,,507.0,266.0,388.0,,504.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,RECOGNITION,no,
anfang,360.5,543.25,314.75,336.75,,,4,4,4,4,0,0,85.7365,86.1695,5.6292,38.5381,,,198.0,199,13.0,89.0,,,2,4,BEGINNING;OUTSET,yes,high_aoa_range;high_aoa_std;high_familiarity_range;high_familiarity_std;multiple_english_sources
anfangen,,529.0,300.0,431.0,421.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,BEG,no,
anforderung,,508.0,300.0,339.0,393.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,REQUIREMENT,no,
anfrage,483.0,485.0,358.0,321.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,INQUIRY,no,
angeboren,,451.0,308.0,301.0,290.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,INNATE,no,
angehalten,,607.0,,397.0,,,0,3,0,3,0,0,,0.0,,0.0,,,,0,,0.0,,,1,3,STOPPED,no,
angeln,,532.0,509.0,599.0,415.0,,0,3,3,3,3,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,3,FISHING,no,
angemessen,,485.0,,268.0,,,0,2,0,2,0,0,,0.0,,0.0,,,,0,,0.0,,,1,2,ADEQUATE,no,
angenehm,,549.4,,376.8,,,0,5,0,5,0,0,,1.9596,,10.7778,,,,4,,22.0,,,2,5,PLEASANT;PLEASING,yes,multiple_english_sources
angreifen,,351.0,271.0,270.0,244.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,AGGRESS,no,
angreifer,589.0,359.0,439.0,383.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,AGGRESSOR,no,
angriff,,494.0,410.3333,487.6667,476.0,556.0,0,6,6,6,2,4,,33.9411,0.4714,9.4281,0.0,0.0,,72,1.0,20.0,0.0,0.0,2,6,ASSAULT;ATTACK,yes,multiple_english_sources
angst,467.0,519.5556,292.5556,402.6667,522.5,569.0,4,9,9,9,4,1,0.0,53.7837,35.4059,29.1166,15.5,,0.0,115,95.0,73.0,31.0,0.0,4,9,AFRAID;ANXIETY;DREAD;FEAR,yes,multiple_english_sources
anhaltend,,524.0,,344.0,,,0,1,0,1,0,0,,,,,,,,0,,0.0,,,1,1,PERSISTENT,no,
anhang,536.0,441.5,464.0,435.0,,,2,4,2,2,0,0,0.0,51.5,0.0,0.0,,,0.0,103,0.0,0.0,,,2,4,ANNEX;APPENDIX,yes,multiple_english_sources
anhäufung,539.0,451.0,285.0,354.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ACCUMULATION,no,
anhörung,,576.0,369.0,401.0,,664.0,0,3,3,3,0,3,,0.0,0.0,0.0,,0.0,,0,0.0,0.0,,0.0,1,3,HEARING,no,
anker,,458.0,595.0,561.0,390.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,ANCHOR,no,
ankläger,511.0,363.0,424.0,343.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ACCUSER,no,
ankunft,394.0,548.0,328.0,419.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ARRIVAL,no,
anlage,,592.0,594.0,605.0,521.0,832.0,0,2,2,2,2,2,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1,2,PLANT,no,
anlass,,566.0,346.0,305.0,,500.0,0,2,2,2,0,2,,0.0,0.0,0.0,,0.0,,0,0.0,0.0,,0.0,1,2,OCCASION,no,
anlaufen,,455.0,443.0,456.0,383.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,TARNISH,no,
anleihe,491.0,454.0,403.0,380.0,,,3,3,3,3,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,3,BOND,no,
anleitung,,552.0,,,,,0,1,0,0,0,0,,,,,,,,0,,,,,1,1,INSTRUCTION,no,
anliegen,444.0,519.0,509.0,353.0,,,2,2,2,2,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,2,CONCERN,no,
anmerkung,355.5,576.0,446.5,412.0,438.0,,4,4,4,4,2,0,63.5,18.0,78.5,91.0,0.0,,127.0,36,157.0,182.0,0.0,,2,4,NOTE;REMARK,yes,high_concreteness_range;high_concreteness_std;high_imageability_range;high_imageability_std;multiple_english_sources
anmutig,,513.0,321.0,483.0,462.0,,0,1,1,1,1,0,,,,,,,,0,0.0,0.0,0.0,,1,1,GRACEFUL,no,
annahme,619.0,458.5,280.0,263.5,,,1,2,1,2,0,0,,62.5,,6.5,,,0.0,125,0.0,13.0,,,2,2,ASSUMPTION;SUPPOSITION,yes,multiple_english_sources
anordnung,489.0,525.0,308.0,316.0,,,1,1,1,1,0,0,,,,,,,0.0,0,0.0,0.0,,,1,1,ARRANGEMENT,no,
anrede,,331.0,454.0,456.0,,524.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,SALUTATION,no,
anreiz,,323.0,288.0,336.0,,368.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,INDUCEMENT,no,
anruf,225.0,599.0,389.0,424.0,430.0,,3,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,,1,3,CALL,no,
anschauen,,576.0,487.0,525.0,445.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,WATCH,no,
anschwellen,428.0,443.0,411.0,410.0,,,3,3,3,3,0,0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,,,1,3,SWELL,no,
ansehen,,441.0,248.0,394.0,,456.0,0,1,1,1,0,1,,,,,,,,0,0.0,0.0,,0.0,1,1,PRESTIGE,no,
ansicht,,523.0,379.0,430.0,417.0,,0,2,2,2,2,0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,,1,2,VIEW,no,
anspruchsvoll,,409.0,,295.0,,,0,3,0,3,0,0,,0.0,,0.0,,,,0,,0.0,,,1,3,EXACTING,no,
